"","X","geschl","flexi","ziele","entsch","kooperation","ueberzeugen","analyse","ma.steuern","ma.entw"
"304",308,"männlich",-0.627932700717231,-0.366971351710725,0.196401405512005,-0.342376855017823,-0.308080739807078,0.496387237029596,-0.648766389675523,-0.499091250142894
"305",309,"männlich",2.14286895437711,1.39107386971886,1.02441929120879,-0.352205585519568,1.48516163534582,-0.496979918179488,1.75343809628222,-2.24355323434658
"306",310,"männlich",-0.627932700717231,-3.10170836282341,-1.45963436588156,-1.24947932823298,-2.10132311495998,0.58583736001051,-1.84986863265439,-2.38770256101204
"307",311,"männlich",-2.89495223670351,-1.73433985726707,-1.04562542303317,-1.47625494653678,-2.32547841185409,0.9169597450802,-3.05097087563326,-3.19710740852739
"308",312,"männlich",-1.63549693893335,-0.952986425520586,-2.28765225157834,-0.569152473321613,-1.20470192738353,1.2480821301499,-0.648766389675523,0.310313597372454
"309",313,"männlich",-0.879823760271261,-0.757648067583965,-0.424612008760582,-1.47625494653678,-1.20470192738353,0.254714974940815,-2.57052997844171,-1.30849609765824
"310",314,"männlich",-1.38360587937932,-2.12501657314031,-1.66663883730575,-1.02270370992919,-0.756391333595304,0.58583736001051,-0.888986838271297,-1.84809932933514
"311",315,"männlich",0.883413656606953,-1.53900149933045,-0.424612008760582,0.111174381589758,0.36438515087526,0.827509622099287,-0.888986838271297,-0.499091250142894
"312",316,"männlich",0.883413656606953,1.39107386971886,1.23142376263298,-0.125429967215778,0.812695744663485,0.827509622099287,-0.408545941079748,-0.229289634304445
"313",317,"männlich",0.631522597052923,0.805058795908998,1.23142376263298,0.564725618197338,0.812695744663485,0.165264851959901,0.552335853303348,-1.16434677099278
"314",318,"männlich",0.379631537498892,-0.757648067583965,0.817414819784591,0.791501236501128,-0.308080739807078,0.165264851959901,-0.888986838271297,0.310313597372454
"315",319,"männlich",0.127740477944861,-1.14832478345721,-1.25262989445736,-0.795928091625404,-1.42885722427764,0.254714974940815,-0.888986838271297,-0.229289634304445
"316",320,"männlich",0.883413656606953,1.19573551178224,2.05944164832976,-0.80575682212715,0.588540447769372,1.82087677730838,0.552335853303348,1.38952006072625
"317",321,"männlich",0.631522597052923,0.609720437972378,0.817414819784591,1.24505247310871,0.140229853981147,0.254714974940815,1.0327767504949,-1.70395000266968
"318",322,"männlich",-0.627932700717231,0.219043722099137,0.4034058769362,-0.352205585519568,-0.308080739807078,0.254714974940815,-0.168325492483975,0.310313597372454
"319",323,"männlich",0.127740477944861,-1.14832478345721,-1.45963436588156,-0.569152473321613,-0.756391333595304,-0.496979918179488,-0.168325492483975,0.0405119815340044
"320",324,"männlich",-0.124150581609169,-0.757648067583965,-0.217607537336386,0.337949999893547,-0.756391333595304,0.254714974940815,-0.408545941079748,0.310313597372454
"321",325,"männlich",-0.627932700717231,-0.757648067583965,-0.631616480184777,0.564725618197338,-0.0839254429129656,0.9169597450802,0.0718949561117991,-1.03869448181979
"322",326,"männlich",0.631522597052923,0.609720437972378,0.4034058769362,-1.03253244043094,1.0368510415576,-0.165857533109793,-0.408545941079748,1.1197184448878
